"","Author","Year","Study","Project.Name","Type.of.Study","Duration.of.follow.up","Country.of.collection","Date.of.collection","Sample.Size_included..N..","N_PT","N_HC","Age_Total_mean","Age_Total_sd","Age_PT_mean","Age_PT_sd","Age_HC_mean","Age_HC_sd","Onset_Age_mean","Onset_Age_sd","N_Total_Male","N_Total_Female","N_PT_Male","N_PT_.Female","N_HC_Male","N_HC_.Female","Psychosis.Measure","Psychosis.Construct","Dimensional..Diagnostic.Outcome","Trauma.Measure","Trauma.Construct","with.total.trauma.info..Y.N.","HC.Status.Measure","LogOR","LogOR_LCI","LogOR_UCI","only_subgroup_analysis","Design","CT.VS.NO.CT","adjusted.age..Y.N.","adjusted.gender..Y.N.","QA_scores","QA_Rating","compution_effect_size","Country_level","sum_gender","Age_level","Male_ratio","Q_or_Int","Adj","vi","Trauma"
"152","Yang et al.","2014","Correlation study among childhood traumaㄛdysfunctional attitude and alexithymia of schizophrenics patients and their first坼degree relatives.",NA,"Case-control",NA,"China","2013",100,"52",48,NA,NA,"33.81","8.66","32.75","10.07",NA,NA,52,48,28,24,24,24,"CCMD-3","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",3.01316000942811,2.18809247320244,3.83822754565378,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"100",1,"0.52",1,"Unadjusted",0.177201280542872,"EA"
"153","Zhang et al.","2014","Study about the relationship between childhood trauma experience and theory of mind capacity in patients with schizophreniaㄝ",NA,"Case-control",NA,"China","2012-2013",110,"56",54,NA,NA,"27.87","5.27","26.63","4.09",NA,NA,55,55,29,27,26,28,"ICD-10","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.27646569345067,0.577766702824961,1.97516468407639,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"110",1,"0.5",1,"Unadjusted",0.127077332231723,"EA"
"154","Cancel et al.","2015","Childhood neglect predicts disorganizationin schizophrenia through grey matterdecrease in dorsolateral prefrontal cortex",NA,"Case-control",NA,"France",NA,51,"21",30,"32.57",7.67,"32.1","8.3","32.9","7.2",NA,NA,35,16,15,6,20,10,"DSM-IV","SCZ","Diagnostic","CTQ","CT, EA, SA, PA, PN, EN","Y","No SCZ diagnosis",1.16523522110454,0.128778474486721,2.20169196772237,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",1,"51",1,"0.68627451",1,"Unadjusted",0.279634159623492,"EA"
"155","Aydin et al.","2016","The developmental origins of metacognitive deficits in schizophrenia",NA,"Case-control",NA,"Turkey",NA,70,"35",35,NA,NA,"29.91","7.35","31.05","7.86",NA,NA,36,34,22,13,14,21,"SCID, DSM-IV","SCZ","Diagnostic","CTQ","CT, EA, SA, PA, PN, EN","Y","did not have a psychiatric diagnosis",1.91798108221911,1.01071373022397,2.82524843421425,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",2,"70",1,"0.514285714",1,"Unadjusted",0.214268546438014,"EA"
"156","Chen et al.","2016","Study on relationship between childhood trauma experience and empathy in patients with schizophrenia",NA,"Case-control",NA,"China","2014-2015",194,"98",96,NA,NA,"29.34","9.56","27.84","7.47",NA,NA,86,108,45,53,41,55,"ICD-10","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",0.770566628107318,0.254338624748287,1.28679463146635,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"194",1,"0.443298969",1,"Unadjusted",0.0693698853217544,"EA"
"157","Wickham & Bentall","2016","Are Specific Early-Life Adversities Associated With Specific Symptoms of Psychosis?: A Patient Study Considering Just World Beliefs as a Mediator",NA,"Case-control",NA,"UK",NA,144,"72",72,NA,NA,"43.46","11.17","39.94","12.07",NA,NA,77,67,46,26,31,41,"Diagnozed","PS, SIP, SAD, SCZ, UNP","Diagnostic","CTQ","EA, PA, SA, EN, PN, BUL","N","no lifetime diagnosis of schizophrenia spectrum disorder, some controls with history of mental health disorder",1.51487154108542,0.897072185692942,2.1326708964779,"N","Case-control",NA,"Y","Y",7,"Good","Mean_SD",1,"144",1,"0.534722222",1,"Unadjusted",0.0993534057484798,"EA"
"158","Li et al.","2017","A related study of cognitiv eimpairment and childhood trauma in children and adolescents with first-episode schizophreniaㄝ",NA,"Case-control",NA,"China","2014-2016",60,"37",23,NA,NA,"15.35","1.53","15.22","1.83",NA,NA,27,33,18,19,9,14,"ICD-10","FEP","Diagnostic","CTQ-SF-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.17641852604718,0.209270027126822,2.14356702496754,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",2,"60",2,"0.45",1,"Unadjusted",0.243486104478318,"EA"
"159","Shovestul et al.","2017","Pilot Study Examining the Relationship of Childhood Trauma, Perceived Stress, and Medication Use to Serum Kynurenic Acid and Kynurenine Levels in Schizophrenia",NA,"Case-control",NA,"USA","2017",20,"10",10,"38.15",13.55,"40.9","14.7","35.4","12.3",NA,NA,10,10,5,5,5,5,"DSM-IV-TR","SCZ, SAD","Diagnostic","CTQ","PA, EA, EN, SA, PN","N","no psychiatric history",0.716017391303628,-0.889258086165636,2.32129286877289,"N","Case-control",NA,"N","N",7,"Fair","Mean_SD",1,"20",1,"0.5",1,"Unadjusted",0.670790649355522,"EA"
"160","Haarmans et al.","2018","Gender role strain, core schemas, and psychotic experiences in ethnically diverse women: A role for sex坼 and gender坼based analysis in psychosis research?",NA,"Case-control",NA,"Canada",NA,91,"43",48,NA,NA,"42.14","13.38","33.9","12.83",NA,NA,0,91,0,43,0,48,"DSM坼IV","PEs","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","no current or past hallucinations or psychotic disorder diagnosis",1.15656997940341,0.391423461812671,1.92171649699415,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"91",1,"0",1,"Unadjusted",0.152397228597782,"EA"
"161","Lee et al.","2018","Childhood Adversity and Schizophrenia: The Protective Role of Resilience in Mental and Physical Health, and Metabolic Markers",NA,"Case-control",NA,"USA","2012-2017",215,"114",101,NA,NA,"48.3","10.1","49.4","11.3",NA,NA,111,104,64,50,47,54,"SCID, DSM-IV-TR","SCZ, SAD","Diagnostic","CTQ","CT, EA, EN, PA, PN, SA","Y","No history of axis 1 disorders or other psychiatric comorbidities",0.963715279985387,0.469455813841177,1.4579747461296,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",1,"215",1,"0.51627907",1,"Unadjusted",0.0635913212914306,"EA"
"162","Li et al.","2018","Impact of childhood trauma on sensory gating in patients with first-episode schizophrenia",NA,"Case-control",NA,"China",NA,105,"56",49,NA,NA,"25.9","6.8","26.21","3.9",NA,NA,47,58,22,34,25,24,"DSM-IV, PANSS","FES","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","without severe mental disorders or current substance use",0.60694700493233,-0.0933026642271584,1.30719667409182,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",2,"105",1,"0.447619048",1,"Unadjusted",0.127642023937415,"EA"
"163","Molina et al.","2018","Early neglect associated to prefrontal structural disconnectivity in schizophrenia",NA,"Case-control",NA,"Spain",NA,40,"26",14,"34.65",9.83,"35.25","9.12","33.53","11.08",NA,NA,22,17,13,13,9,4,"Clin","SCZ","Diagnostic","CTQ","EA, PA, SA, EN, PN","N","NR",1.50232241680263,0.278716960642377,2.72592787296289,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",1,"39",1,"0.564102564",1,"Unadjusted",0.38973612878622,"EA"
"164","Riley et al.","2018","Telomere length and early trauma in schizophrenia",NA,"case control",NA,"USA",NA,66,"48",18,"40.93",9.79,"42.48","10.12","36.81","8.86",NA,NA,39,27,28,20,11,7,"DSM-V, DIGS","SCZ","Diagnostic","ETI","CT, PA, EA,SA","Y",NA,1.79413042425535,0.764999751828985,2.82326109668171,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",1,"66",1,"0.590909091",1,"Unadjusted",0.275695007530388,"EA"
"165","Akbey et al.","2019","Is There Any Association Between Childhood Traumatic Experiences, Dissociation and Psychotic Symptoms in Schziophrenic Patients?",NA,"Case-control",NA,"Turkey",NA,150,"100",50,NA,NA,"38.7","10.5","35.3","10.4","24.4",8.9,97,53,69,31,28,22,"DSM-IV, SCID","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","healthy siblings",0.762201370339461,0.140437755315448,1.38396498536347,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"150",1,"0.646666667",1,"Unadjusted",0.100632547107385,"EA"
"166","Ding et al.","2019","Correlation study on childhood traumatic experience and psychiatric symptoms in patients with schizophrenia",NA,"Case-control",NA,"China","2017-2018",297,"177",120,NA,NA,"32.93","6.55","33.13","6.16",NA,NA,208,89,126,51,82,38,"ICD-10","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.54491429106624,1.10655509574422,1.98327348638827,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"297",1,"0.7003367",1,"Unadjusted",0.0500205081537308,"EA"
"167","Huang et al.","2019","Individuals at high risk for psychosis experience more childhood trauma, life events and social support deficit in comparison to healthy controls",NA,"Case-control",NA,"China","2019",117,"56",61,NA,NA,"26.5","8.5","31.3","7.9",NA,NA,69,48,37,19,32,29,"ICD-10, MINI","FEP","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","no diagnosis or history of psychiatric disorders",1.43226554735306,0.749221687094459,2.11530940761165,"N","Case-control",NA,"N","N",9,"Good","Mean_SD",2,"117",1,"0.58974359",1,"Unadjusted",0.121446510578135,"EA"
"168","Kim et al.","2019","Neurophysiological and psychological predictors of social functioning in patients with schizophrenia and bipolar disorder",NA,"Case-control",NA,"South Korea",NA,52,"27",25,"42.48",12.22,"42.48","11.86","42.48","12.6","31.22",10.8,22,30,11,16,11,14,"SCID, DSM-IV","SCZ","Diagnostic","CTQ","EA, SA, PA, EN, PN","N","No history of psychosis or other psychiatric disrders (except bipolarity which is the other control group)",0.442525794958441,-0.547855562775869,1.43290715269275,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"52",1,"0.423076923",1,"Unadjusted",0.255324665177961,"EA"
"169","Speck et al.","2019","Endogenous oxytocin response to film scenes ofattachment and loss is pronounced in schizophrenia",NA,"Case-control",NA,"Germany",NA,70,"35",35,"38.2",9.63,"40.4","8.8","36","10.4","27.7",8.9,46,24,23,12,23,12,"DSM-IV","SCZ","Diagnostic","CTQ-SF","EA, SA, PA, EN, PN","N","No history of axis I disorders or family with psychosis",1.4103798044127,0.529031570037317,2.29172803878808,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",1,"70",1,"0.657142857",1,"Unadjusted",0.202200830444763,"EA"
"170","Popovic et al.","2020","Traces of Trauma: A Multivariate Pattern Analysis of Childhood Trauma, Brain Structure, and Clinical Phenotypes","PRONIA study cohort","Case-control",NA,"Multiple countries","2014-2016",396,"132",264,NA,NA,"28.73","5.63","28.5","6.45",NA,NA,182,214,82,50,100,164,"DSM-IV-TR","ROP","Diagnostic","CTQ-28","CT, PA, EA, EN, SA, PN","Y","no diagnosis",1.86667207428501,1.46602371065154,2.26732043791848,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",1,"396",1,"0.45959596",1,"Unadjusted",0.041784441712353,"EA"
"171","Struck et al.","2020","Childhood maltreatment and adult mental disorders - the prevalence of different types of maltreatment and associations with age of onset and severity of symptoms","FOR 2017","Case-control",NA,"Germany","2017",822,"107",715,NA,NA,"39.05","11.55","32.73","12.59","22.41",8.15,321,501,49,58,272,443,"DSM-IV","SCZ, SAD","Diagnostic","CTQ","CT, EA, SA, PA, EN, PN","Y","no current or former psychotic disorder assessed by SCID-I",2.15017208557172,1.76729505237026,2.53304911877319,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"822",1,"0.390510949",1,"Unadjusted",0.0381598351085886,"EA"
"172","Dauvermann et al.","2021","Changes in Default-Mode Network Associated With Childhood Trauma in Schizophrenia",NA,"Case-control",NA,"Ireland",NA,173,"57",116,"41.29",11.35,"43.61","11.51","40.15","11.27",NA,NA,111,62,39,18,72,44,"DSM-IV","SAD, SCZ","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","no documented lifetime personal history of axis I mental health disorder or substance use disorder in the last 6 months, or a first-degree relative with a psychotic disorder, or substance abuse in the last 6 months (based on self-report)",0.629405627459239,0.050548691872115,1.20826256304636,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"173",1,"0.641618497",1,"Unadjusted",0.0872228633583182,"EA"
"173","King et al.","2021","Early life Adversity, functional connectivity and cognitive performance in Schizophrenia: The mediating role of IL-6","iRelate","Case-control",NA,"Ireland","2015-2019",311,"104",207,NA,NA,"42","10.95","36","12.38",NA,NA,212,99,73,31,139,68,"DSM-IV","SCZ, SAD","Diagnostic","CTQ","CT, EA, PA, EN, SA, PN,","Y","No history of psychiatric illness, drug abuse or general health problems, no first-degree relatives with
schizophrenia spectrum disordersdrugs",1.07738787355474,0.641788682181934,1.51298706492755,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",1,"311",1,"0.681672026",1,"Unadjusted",0.049392611288173,"EA"
"174","Li et al.","2021","Relationship between dream threat level ,life events and childhood truma in schizophrenia patients",NA,"Case-control",NA,"China","2017-2019",138,"68",70,NA,NA,"28.71","7.57","29.2","7.77",NA,NA,69,69,30,38,39,31,"NR","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.5873205031506,0.953699258469065,2.22094174783214,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"138",1,"0.5",1,"Unadjusted",0.104507466084908,"EA"
"175","Cay et al.","2022","Test-retest reliability of the Childhood Trauma Questionnaire in psychotic disorders","Schizophrenia and Bipolar Disorder Program at McLean Hospital in Belmont, Massachusetts","Case-control",NA,"USA","2014-2022",47,"19",28,NA,NA,"26.4","7.1","24.4","6.1",NA,NA,21,26,11,8,10,18,"SCID-IV, SCID-5","SCZ","Diagnostic","CTQ","CT, EA, EN, PA, PN, SA","Y",NA,1.9112903395886,0.78619523850971,3.03638544066748,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",1,"47",1,"0.446808511",1,"Unadjusted",0.329508274279392,"EA"
"176","Fan et al.","2022","Subcortical structures associated with childhood trauma and perceived stress in schizophrenia",NA,"Case-control",NA,"China",NA,210,"127",83,NA,NA,"40.82","13.09","38.59","12.23","25.05",7.83,117,93,73,54,44,39,"DSM-IV, SCID","SCZ","Diagnostic","CTQ","CT, EA, PA, SA, EN, PN","Y","no family history of psychotic illness; not diagnozed with shizophrenia",0.842181714897347,0.333977574271587,1.35038585552311,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",2,"210",1,"0.557142857",1,"Unadjusted",0.0672301771525319,"EA"
"177","Millman et al.","2022","Auditory hallucinations, childhood sexual abuse, and limbic gray matter volume in a transdiagnostic sample of people with psychosis",NA,"Case-control",NA,"USA",NA,111,"76",35,"33.16",7.5,"31.8","7.27","32.43","7.98",NA,NA,58,57,41,37,17,20,"DSM-IV-TR, SCID","Psychosis","Diagnostic","CTQ","SA, PA, EA, EN, PN","N","no current Axis I psychiatric disorder, no history of psychosis, and no first degree relatives with psychotic disorders",1.61667967720501,0.859964356777993,2.37339499763204,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"115",1,"0.504347826",1,"Unadjusted",0.149057183509208,"EA"
"178","Uyan et al.","2022","Relationships between childhood trauma and dissociative, psychotic symptoms in patients with schizophrenia: a case每control study",NA,"Case-control",NA,"Turkey","2016-2017",200,"100",100,"41.49",15.14,"42.38","15.38","40.6","14.9",NA,NA,84,116,49,51,35,65,"DSM-V","SCZ","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y",NA,1.46033561917746,0.937603902207103,1.98306733614782,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"200",1,"0.42",1,"Unadjusted",0.0711288129755251,"EA"
"179","Wang et al.","2022","The mediating effect of brain-derived neurotrophic factor levels on childhood trauma and psychiatric symptoms in patients with first-episode schizophrenia.",NA,"Case-control",NA,"China",NA,328,"192",136,NA,NA,"27.2","7.3","28.6","5.6","26.1",7.3,171,157,96,96,75,61,"DSM-IV","FEP","Diagnostic","CTQ","CT, EA, EN, PA, PN, SA","Y","no diagnosis of schizophrenia",0.810392432015753,0.407155793796734,1.21362907023477,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",2,"328",1,"0.521341463",1,"Unadjusted",0.0423260585178511,"EA"
"180","R<U+00F6>ssler et al.","2016","Childhood trauma as a risk factor for the onset of subclinical psychotic experiences: Exploring the mediating effect of stress sensitivity in a cross-sectional epidemiological community study","Zurich Programme for Sustainable Development of Mental Health Services","Cross-sectional",NA,"Switzerland",NA,663,"260",403,"31.52",6.77,"31.13","6.74","31.78","6.78",NA,NA,314,349,121,139,193,210,"SIAPA, SPQ-B, PARA, SCL-90-R, CEQ to assess indicators for subclinical psychotic experiences","subclinical psychotic experiences","Dimensional","CTQ-SF","CT, EA, EN, PA, PN, SA","Y","no subclinical psychotic experience",1.09507239251998,0.806205725858407,1.38393905918155,"N","Cross-sectional",NA,"N","N",7,"Good","Mean_SD",1,"663",1,"0.473604827",NA,"Unadjusted",0.02172114512395,"EA"
"181","Ered & Ellman","2019","Specificity of Childhood Trauma Type and Attenuated Positive Symptoms in a Non-Clinical Sample",NA,"Cross-sectional",NA,"USA",NA,130,"99",31,"19.68",1.9,"19.74","2.09","19.48","1.12",NA,NA,26,104,21,78,5,26,"Prodomal Questionnaire (PQ)","PLE","Dimensional","CTQ","CT, EA, EN, PA, PN, SA","Y","Score under 8 on the prodomal questionnaire (classsified as Low PLE)",1.53339280823213,0.778349504199762,2.2884361122645,"N","Cross-sectional",NA,"N","N",8,"Good","Mean_SD",1,"130",1,"0.2",NA,"Unadjusted",0.148399206310943,"EA"
"182","Daalman et al.","2012","Childhood trauma and auditory verbal hallucinations",NA,"Case-control",NA,"The Netherlands",NA,224,"100",124,"40.81",13.18,"38.02","11.49","43.06","14.39","22.64",12.22,84,140,44,56,40,84,"DSM-III-R, SCID-II","Psychosis, AVH","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","without AVH did not meet criteria for a Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV) diagnosis, as assessed with the Comprehensive Assessment of Symptoms and History (CASH)",0.381895514695636,-0.279276167934661,1.04306645627246,"N","Case-control",NA,"N","N",5,"Fair","OR",1,"224",1,"0.375",1,"Unadjusted",0.113793082035805,"EN"
"183","Arranz et al.","2018","The relationship between the level of exposure to stress factors and cannabis in recent onset psychosis","EIP, The Early Psychosis Program","Cohort study","3 years","Spain",NA,207,"146",61,"range: 18-35",NA,NA,NA,NA,NA,NA,NA,126,81,94,52,32,29,"DSM-IV","ROP","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","Screening for current and past psychotic experiences, mental retardation, substance abuse, severe neurological injury and/or head injury, and pregnancy.",1.57069708411767,0.858661619037519,2.28136145654242,"N","Case-control",NA,"N","N",7,"Good","OR",1,"207",1,"0.608695652",1,"Unadjusted",0.131720821248729,"EN"
"184","LoPilato et al.","2019","Impact of childhood adversity on corticolimbic volumes in youth at clinical high-risk psychosis clinical high-risk for psychosis","NAPLS-2","Case-control",NA,"USA","2009 - 2011",702,"486",216,NA,NA,"18.85","4.2","20.07","4.6",NA,NA,401,301,289,197,112,104,"SIPS high risk status for psychotic symptoms","PEs","Dimensional","Documentation of Trauma Form, a semi-structured interview","CT, PA, EA, EN, SA, BUL, PS","Y","no risk and no psychotic symptoms after screening",2.49155119250667,1.90359895098359,3.08053287524646,"N","Case-control",NA,"N","N",6,"Fair","OR",1,"702",1,"0.571225071",2,"Unadjusted",0.0901430043524046,"EN"
